ID,Housing Locations,of People,Data Received Date,Status
Piotrowski Park - Shelter- 2023-10-21,Piotrowski Park - Shelter,,10/20/2023 11:00pm,Latest Census Update
Inn of Chicago - Shelter- 2023-10-21,Inn of Chicago - Shelter,,10/20/2023 11:00pm,Latest Census Update
Super 8 Motel - Shelter- 2023-10-21,Super 8 Motel - Shelter,,10/20/2023 11:00pm,Latest Census Update
Ogden - Shelter- 2023-10-21,Ogden - Shelter,,10/20/2023 11:00pm,Latest Census Update
Broadway Armory - Shelter- 2023-10-21,Broadway Armory - Shelter,,10/20/2023 11:00pm,Latest Census Update
Brands Park - Shelter- 2023-10-21,Brands Park - Shelter,,10/20/2023 11:00pm,Latest Census Update
Lakeshore Hotel - Shelter- 2023-10-21,Lakeshore Hotel - Shelter,,10/20/2023 11:00pm,Latest Census Update
Near South Health Center - Shelter- 2023-10-21,Near South Health Center - Shelter,,10/20/2023 11:00pm,Latest Census Update
Daley College - Shelter- 2023-10-21,Daley College - Shelter,,10/20/2023 11:00pm,Latest Census Update
Walnut - Shelter- 2023-10-21,Walnut - Shelter,,10/20/2023 11:00pm,Latest Census Update
Halsted - Shelter- 2023-10-21,Halsted - Shelter,,10/20/2023 11:00pm,Latest Census Update
Gage Park - Shelter- 2023-10-21,Gage Park - Shelter,,10/20/2023 11:00pm,Latest Census Update
Near South Health Center - Shelter- 2023-10-21,Near South Health Center - Shelter,,10/20/2023 11:00pm,Latest Census Update
Brands Park - Shelter- 2023-10-21,Brands Park - Shelter,,10/20/2023 11:00pm,Latest Census Update
Lakeshore Hotel - Shelter- 2023-10-21,Lakeshore Hotel - Shelter,,10/20/2023 11:00pm,Latest Census Update
New Life Church - Shelter- 2023-10-21,New Life Church - Shelter,,10/20/2023 11:00pm,Latest Census Update
Gage Park - Shelter- 2023-10-21,Gage Park - Shelter,,10/20/2023 11:00pm,Latest Census Update
Social Club - Shelter- 2023-10-21,Social Club - Shelter,,10/20/2023 11:00pm,Latest Census Update
Ogden - Shelter- 2023-10-21,Ogden - Shelter,,10/20/2023 11:00pm,Latest Census Update
Inn of Chicago - Shelter- 2023-10-21,Inn of Chicago - Shelter,,10/20/2023 11:00pm,Latest Census Update
Leone Beach - Shelter- 2023-10-21,Leone Beach - Shelter,,10/20/2023 11:00pm,Latest Census Update
Broadway Armory - Shelter- 2023-10-21,Broadway Armory - Shelter,,10/20/2023 11:00pm,Latest Census Update
Parthenon - Shelter- 2023-10-21,Parthenon - Shelter,,10/20/2023 11:00pm,Latest Census Update
MWRD - Shelter- 2023-10-21,MWRD - Shelter,,10/20/2023 11:00pm,Latest Census Update
Walnut - Shelter- 2023-10-21,Walnut - Shelter,,10/20/2023 11:00pm,Latest Census Update
High Ridge YMCA - Shelter- 2023-10-21,High Ridge YMCA - Shelter,,10/20/2023 11:00pm,Latest Census Update
Leone Beach - Shelter- 2023-10-21,Leone Beach - Shelter,,10/20/2023 11:00pm,Latest Census Update
YWLA - Shelter- 2023-10-21,YWLA - Shelter,,10/20/2023 11:00pm,Latest Census Update
High Ridge YMCA - Shelter- 2023-10-21,High Ridge YMCA - Shelter,,10/20/2023 11:00pm,Latest Census Update
YWLA - Shelter- 2023-10-21,YWLA - Shelter,,10/20/2023 11:00pm,Latest Census Update
Wadsworth - Shelter- 2023-10-21,Wadsworth - Shelter,,10/20/2023 11:00pm,Latest Census Update
O'Hare Airport - Staging Area- 2023-10-21,O'Hare Airport - Staging Area,,10/20/2023 11:00pm,Latest Census Update
Social Club - Shelter- 2023-10-21,Social Club - Shelter,,10/20/2023 11:00pm,Latest Census Update
Super 8 Motel - Shelter- 2023-10-21,Super 8 Motel - Shelter,,10/20/2023 11:00pm,Latest Census Update
O'Hare Airport - Staging Area- 2023-10-21,O'Hare Airport - Staging Area,,10/20/2023 11:00pm,Latest Census Update
Halsted - Shelter- 2023-10-21,Halsted - Shelter,,10/20/2023 11:00pm,Latest Census Update
New Life Church - Shelter- 2023-10-21,New Life Church - Shelter,,10/20/2023 11:00pm,Latest Census Update
Parthenon - Shelter- 2023-10-21,Parthenon - Shelter,,10/20/2023 11:00pm,Latest Census Update
Police Districts (All) - Staging Area- 2023-10-21,Police Districts (All) - Staging Area,,10/20/2023 11:00pm,Latest Census Update
North Park Village - Shelter- 2023-10-21,North Park Village - Shelter,,10/20/2023 11:00pm,Latest Census Update
Police Districts (All) - Staging Area- 2023-10-21,Police Districts (All) - Staging Area,,10/20/2023 11:00pm,Latest Census Update
American Islamic College - Shelter- 2023-10-21,American Islamic College - Shelter,,10/20/2023 11:00pm,Latest Census Update
Wadsworth - Shelter- 2023-10-21,Wadsworth - Shelter,,10/20/2023 11:00pm,Latest Census Update
Piotrowski Park - Shelter- 2023-10-21,Piotrowski Park - Shelter,,10/20/2023 11:00pm,Latest Census Update
Daley College - Shelter- 2023-10-21,Daley College - Shelter,,10/20/2023 11:00pm,Latest Census Update
