STAGING AREA,2023-06-09 00:00:00,2023-06-16 00:00:00,2023-06-23 00:00:00,2023-06-30 00:00:00,2023-07-07 00:00:00,2023-07-14 00:00:00,2023-07-21 00:00:00,2023-07-28 00:00:00,2023-08-04 00:00:00,2023-08-11 00:00:00,2023-08-18 00:00:00,2023-08-25 00:00:00,2023-09-01 00:00:00,2023-09-08 00:00:00,2023-09-15 00:00:00,2023-09-22 00:00:00,2023-09-29 00:00:00,2023-10-06 00:00:00,2023-10-13 00:00:00,2023-10-20 00:00:00,2023-10-27 00:00:00,2023-11-03 00:00:00,2023-11-10 00:00:00,2023-11-17 00:00:00,2023-11-24 00:00:00,2023-12-01 00:00:00,2023-12-08 00:00:00,2023-12-15 00:00:00,2023-12-22 00:00:00,2023-12-29 00:00:00,2024-01-05 00:00:00,2024-01-12 00:00:00,2024-01-19 00:00:00,2024-01-26 00:00:00,2024-02-02 00:00:00,2024-02-09 00:00:00,2024-02-16 00:00:00,2024-02-23 00:00:00,2024-03-01 00:00:00,2024-03-08 00:00:00,2024-03-15 00:00:00,2024-03-22 00:00:00,2024-03-29 00:00:00,2024-04-05 00:00:00,2024-04-12 00:00:00,2024-04-19 00:00:00,2024-04-26 00:00:00,2024-05-03 00:00:00,2024-05-10 00:00:00,2024-05-17 00:00:00,2024-05-24 00:00:00,2024-05-31 00:00:00,2024-06-07 00:00:00,2024-06-14 00:00:00,2024-06-21 00:00:00,2024-06-28 00:00:00,2024-07-05 00:00:00,2024-07-12 00:00:00,2024-07-19 00:00:00,2024-07-26 00:00:00,2024-08-02 00:00:00,2024-08-09 00:00:00,2024-08-16 00:00:00,2024-08-23 00:00:00,2024-08-30 00:00:00,2024-09-06 00:00:00
Landing Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,2.0,11.0,0.0,29.0,16.0,0.0,6.0,3.0,40.0,74.0,126.0,83.0,24.0,18.0,51.0,17.0,44.0,16.0,37.0,34.0,13.0,13.0,14.0,25.0,27.0,6.0,8.0,33.0,30.0,8.0,5.0,7.0,12.0,12.0
O'Hare Airport,11.0,11.0,56.0,0.0,32.0,34.0,95.0,37.0,31.0,100.0,170.0,292.0,418.0,472.0,466.0,502.0,483.0,828.0,449.0,660.0,536.0,503.0,580.0,575.0,276.0,155.0,176.0,228.0,216.0,240.0,245.0,263.0,216.0,188.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,14.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Midway Airport,,,,,,,3.0,0.0,0.0,0.0,8.0,0.0,0.0,21.0,0.0,8.0,22.0,28.0,3.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Districts (All),459.0,387.0,460.0,687.0,760.0,772.0,860.0,795.0,695.0,932.0,1100.0,1347.0,1576.0,1539.0,1641.0,1496.0,1741.0,2526.0,3115.0,3014.0,2808.0,2724.0,1947.0,1640.0,1237.0,877.0,399.0,111.0,35.0,12.0,17.0,1.0,12.0,3.0,2.0,0.0,10.0,4.0,6.0,4.0,3.0,2.0,3.0,1.0,8.0,10.0,11.0,5.0,7.0,0.0,3.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
STAGING AREA TOTAL,470,398,516,687,792,806,958,832,726,1032,1278,1639,1994,2032,2107,2006,2246,3382,3567,3684,3344,3228,2527,2218,1513,1032,575,339,251,253,262,406,230,202,69,29,26,4,15,7,43,76,133,84,39,31,84.0,29.0,53.0,17.0,40.0,34.0,20,17,19.0,26.0,29,6,8,33.0,35.0,9.0,5.0,7.0,12,13
Minors Currently in Staging Area,,35.0,73.0,213.0,220.0,115.0,290.0,295.0,257.0,316.0,316.0,473.0,705.0,472.0,705.0,646.0,579.0,737.0,744.0,886.0,803.0,731.0,471.0,414.0,303.0,58.0,36.0,29.0,12.0,30.0,20.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELTER,2023-06-09,2023-06-16,2023-06-23,2023-06-30,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-29,2023-10-06,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29,2024-01-05,2024-01-12,2024-01-19,2024-01-26,2024-02-02,2024-02-09,2024-02-16,2024-02-23,2024-03-01,2024-03-08,2024-03-15,2024-03-22,2024-03-29,2024-04-05,2024-04-12,2024-04-19,2024-04-26,2024-05-03,2024-05-10,2024-05-17,2024-05-24,2024-05-31,2024-06-07,2024-06-14,2024-06-21,2024-06-28,2024-07-05,2024-07-12,2024-07-19,2024-07-26,2024-08-02,2024-08-09,2024-08-16,2024-08-23,2024-08-30,2024-09-06
American Islamic College,,,,,,,,,556.0,610.0,783.0,798.0,814.0,828.0,996.0,992.0,1000.0,1198.0,1151.0,1302.0,1283.0,1269.0,1269.0,1228.0,1194.0,1265.0,1247.0,1242.0,1226.0,1204.0,1200.0,1170.0,1155.0,1105.0,1104.0,1025.0,986.0,1030.0,1029.0,1070.0,1014.0,975.0,871.0,897.0,866.0,901.0,976.0,914.0,913.0,982.0,998.0,1027.0,934.0,856.0,796.0,715.0,681.0,644.0,579.0,515.0,495.0,477.0,438.0,426.0,411.0,400.0
Elston,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,568.0,841.0,987.0,1000.0,994.0,1009.0,981.0,950.0,975.0,897.0,850.0,789.0,796.0,831.0,893.0,881.0,891.0,860.0,879.0,822.0,794.0,711.0,752.0,720.0,720.0,741.0,780.0,749.0,748.0,797.0,783.0,762.0,709.0,728.0,718.0,702.0,702.0,713.0,762.0,771.0
Halsted,,,,,,,,,,,,,60.0,61.0,,,,397.0,870.0,973.0,1272.0,1291.0,1264.0,1385.0,1501.0,2030.0,2305.0,2391.0,2536.0,2539.0,2547.0,2549.0,2535.0,2451.0,2442.0,2298.0,2235.0,2150.0,2038.0,1896.0,1570.0,1462.0,1334.0,1198.0,1140.0,994.0,799.0,729.0,647.0,616.0,545.0,480.0,456.0,459.0,415.0,444.0,478.0,598.0,516.0,505.0,555.0,535.0,545.0,541.0,542.0,551.0
Inn of Chicago,1432.0,1252.0,1398.0,1388.0,1408.0,1426.0,1468.0,1507.0,1509.0,1503.0,1469.0,1550.0,1543.0,1503.0,1553.0,1530.0,1529.0,1156.0,1532.0,1533.0,1499.0,1531.0,1507.0,1488.0,1478.0,1455.0,1388.0,1366.0,1478.0,1492.0,1522.0,1411.0,1384.0,1371.0,1294.0,1215.0,1180.0,1171.0,1166.0,1152.0,1204.0,1167.0,1198.0,1153.0,1090.0,1028.0,974.0,949.0,891.0,869.0,827.0,788.0,748.0,808.0,706.0,691.0,717.0,774.0,759.0,757.0,745.0,752.0,720.0,705.0,731.0,739.0
Lakeshore Hotel,,,,,,,,,,,,,,377.0,603.0,602.0,598.0,625.0,616.0,616.0,628.0,607.0,619.0,606.0,617.0,615.0,589.0,588.0,591.0,602.0,601.0,600.0,597.0,577.0,571.0,553.0,546.0,544.0,532.0,581.0,557.0,572.0,518.0,481.0,459.0,449.0,424.0,406.0,381.0,384.0,352.0,311.0,427.0,402.0,366.0,366.0,348.0,374.0,398.0,381.0,379.0,374.0,405.0,379.0,384.0,380.0
Little Village - Pulaski LVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,202.0,202.0,201.0,200.0,206.0,196.0,196.0,193.0,189.0,185.0,165.0,187.0,188.0,183.0,175.0,180.0,165.0,194.0,173.0,173.0,155.0,141.0,137.0,127.0,142.0,123.0,119.0,119.0,118.0,129.0,142.0,140.0,140.0,132.0
Midway Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,49.0,97.0,113.0,119.0,131.0,139.0,160.0,151.0
MWRD,,,,,,,,,,,,,,,,390.0,547.0,550.0,548.0,545.0,550.0,542.0,542.0,549.0,523.0,541.0,549.0,540.0,547.0,547.0,547.0,550.0,541.0,547.0,538.0,528.0,511.0,534.0,515.0,476.0,516.0,466.0,411.0,398.0,325.0,345.0,294.0,281.0,405.0,376.0,358.0,345.0,343.0,330.0,307.0,296.0,286.0,263.0,281.0,266.0,263.0,252.0,229.0,224.0,211.0,203.0
North Western,,,,,,,,,,,,,,,,,,,,,,,201.0,187.0,186.0,185.0,195.0,200.0,200.0,199.0,199.0,199.0,199.0,191.0,162.0,144.0,128.0,115.0,106.0,98.0,187.0,167.0,167.0,162.0,144.0,141.0,130.0,129.0,131.0,133.0,133.0,119.0,121.0,106.0,98.0,97.0,88.0,80.0,81.0,73.0,82.0,125.0,144.0,133.0,136.0,174.0
Ogden,,,,,,,,,,,,,,,,100.0,650.0,647.0,881.0,890.0,895.0,882.0,1127.0,1127.0,1128.0,1135.0,1114.0,1132.0,1134.0,1126.0,1129.0,1109.0,1129.0,1128.0,1068.0,1039.0,1064.0,1010.0,1006.0,929.0,858.0,815.0,888.0,816.0,901.0,871.0,894.0,988.0,913.0,833.0,800.0,806.0,743.0,711.0,656.0,553.0,496.0,437.0,399.0,399.0,360.0,337.0,352.0,341.0,323.0,317.0
Parthenon,,,,,,,,,,,,,,,,185.0,184.0,186.0,185.0,178.0,186.0,185.0,182.0,182.0,183.0,185.0,186.0,185.0,186.0,186.0,186.0,185.0,184.0,184.0,184.0,183.0,184.0,176.0,170.0,158.0,158.0,151.0,137.0,125.0,110.0,114.0,84.0,69.0,106.0,107.0,105.0,109.0,95.0,115.0,119.0,121.0,113.0,151.0,147.0,153.0,147.0,177.0,183.0,176.0,177.0,184.0
Social Club,1026.0,1033.0,1084.0,1147.0,1167.0,1182.0,1169.0,1179.0,1185.0,1182.0,1190.0,1187.0,1176.0,1179.0,1170.0,1191.0,1172.0,1191.0,1190.0,1167.0,1192.0,1196.0,1197.0,1176.0,1185.0,1200.0,1192.0,1175.0,1178.0,1200.0,1197.0,1208.0,1192.0,1171.0,1090.0,1183.0,1106.0,1087.0,1076.0,1019.0,981.0,902.0,897.0,926.0,945.0,897.0,930.0,816.0,873.0,918.0,901.0,828.0,633.0,507.0,413.0,322.0,303.0,313.0,298.0,273.0,259.0,255.0,251.0,245.0,234.0,216.0
South DuSable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,20.0,91.0,152.0,0.0,0.0,0.0,106.0,132.0,143.0,192.0,226.0,241.0,238.0,231.0,219.0,221.0,248.0,265.0,243.0,245.0,242.0,239.0
Super 8 Motel,,,,,,,,243.0,258.0,276.0,279.0,282.0,285.0,285.0,278.0,283.0,281.0,284.0,281.0,282.0,280.0,282.0,280.0,278.0,261.0,279.0,263.0,278.0,271.0,267.0,272.0,268.0,250.0,256.0,237.0,191.0,180.0,232.0,227.0,233.0,233.0,228.0,221.0,223.0,214.0,221.0,225.0,216.0,216.0,207.0,186.0,175.0,178.0,160.0,156.0,153.0,154.0,145.0,137.0,140.0,141.0,151.0,158.0,149.0,140.0,137.0
